50	10378	2026_03_28_david-thor-bjorgvinsson-skrifar-innganga-nyrra-rikja-esb	Davíð Þór Björgvinsson skrifar: Innganga nýrra ríkja í ESB
49	10272	2026_07_10_david-thor-bjorgvinsson-skrifar-afmarkad-yfirthjodlegt-vald-esb-i-thagu-innri	Davíð Þór Björgvinsson skrifar: Afmarkað yfirþjóðlegt vald ESB í þágu innri markaðarins
47	12987	2026_04_15_david-thor-bjorgvinsson-skrifar-thankar-tilefni-af-umsogn-landskjorstjornar	Davíð Þór Björgvinsson skrifar: Þankar í tilefni af umsögn landskjörstjórnar
46	5780	2026_03_25_thomas-moller-skrifar-med-eda-moti-esb-hver-hefur-rett-fyrir-ser	Thomas Möller skrifar: Með eða á móti ESB – hver hefur rétt fyrir sér?
45	7961	2026_08_11_thomas-moller-skrifar-vid-viljum-bara-fa-ad-vera-i-fridi	Thomas Möller skrifar: „Við viljum bara fá að vera í friði“
42	6631	2026_04_08_thomas-moller-skrifar-bua-tvaer-thjodir-landinu-okkar	Thomas Möller skrifar: Búa tvær þjóðir í landinu okkar?
41	9063	2026_07_19_david-thor-bjorgvinsson-skrifar-esb-og-launthegar	Davíð Þór Björgvinsson skrifar: ESB og launþegar
41	7995	2026_08_05_david-thor-bjorgvinsson-skrifar-esb-og-natturuaudlindir	Davíð Þór Björgvinsson skrifar: ESB og náttúruauðlindir
40	7840	2026_05_19_david-thor-bjorgvinsson-skrifar-vernd-mannrettinda-vettvangi-esb	Davíð Þór Björgvinsson skrifar: Vernd mannréttinda á vettvangi ESB
38	18090	2026_08_07_inga-dora-ingvadottir-skrifar-bondinn-fiskurinn-og-samningurinn-sem-er	Inga Dóra Ingvadóttir skrifar: Bóndinn, fiskurinn og samningurinn sem er ekki enn til
36	7760	2026_04_29_david-thor-bjorgvinsson-skrifar-yfirthjodlegt-vald-esb	Davíð Þór Björgvinsson skrifar: Yfirþjóðlegt vald ESB
36	5519	2026_05_06_thomas-moller-skrifar-nei-er-staerra-en-ja	Thomas Möller skrifar: NEI er stærra en já
33	6036	2026_05_28_david-thor-bjorgvinsson-skrifar-samstarf-bandarikjanna-og-esb-rikja-oryggis-og-varnarmalum	Davíð Þór Björgvinsson skrifar: Samstarf Bandaríkjanna og ESB-ríkja í öryggis- og varnarmálum
33	7376	2026_06_17_thomas-moller-skrifar-segdu-ekki-nei-segdu-kannski	Thomas Möller skrifar: Segðu ekki NEI ... segðu kannski
32	5251	2026_07_28_david-thor-bjorgvinsson-skrifar-esb-loggjafarvald-framkvaemdarvald-og-domsvald	Davíð Þór Björgvinsson skrifar: ESB, löggjafarvald, framkvæmdarvald og dómsvald
32	9074	2026_07_28_thomas-moller-skrifar-thad-er-skrytid-ad-segja-nei	Thomas Möller skrifar: „Það er skrýtið að segja nei“
31	6469	2026_06_02_albert-jonsson-esb-adild-tryggir-ekki-sjalfkrafa-evru-mikid-fer-eftir-okkur-sjalfum	Albert Jónsson: ESB aðild tryggir ekki sjálfkrafa evru – mikið fer eftir okkur sjálfum
31	6043	2026_07_15_thomas-moller-skrifar-segjum-ja-fyrir-unga-folkid	Thomas Möller skrifar: Segjum JÁ fyrir unga fólkið
31	9337	2026_08_05_bjorgvin-g-sigurdsson-skrifar-ofaeddu-bornin-grata-ekki	Björgvin G. Sigurðsson skrifar: Ófæddu börnin gráta ekki
30	5837	2026_06_01_albert-jonsson-vidraedur-islands-vid-esb-yrdu-einstakar-sogu-sambandsins	Albert Jónsson: Viðræður Íslands við ESB yrðu einstakar í sögu sambandsins
